"Dolphin.ID","T2008","T2010","T2012","T2014","T2016","T2018","Birth.Date","Weaning.Date","Last.Sighting.Date","Death.Date","Sex"
"ID0001",NA,NA,4,14,8,6,"2009-11-01","2013-06-08","2019-09-24","","FEMALE"
"ID0002",12,13,21,18,13,15,"2004-01-01","2007-05-30","2019-12-04","","FEMALE"
"ID0003",12,19,5,NA,NA,NA,"1972-11-01","","2013-05-19","2014-05-01","MALE"
"ID0004",16,23,28,36,22,15,"1975-11-01","","2019-12-03","","MALE"
"ID0005",11,21,22,16,10,7,"1970-11-01","","2019-12-06","","FEMALE"
"ID0006",NA,NA,NA,32,21,28,"2011-11-20","2015-06-03","2019-12-07","","FEMALE"
"ID0007",5,4,NA,NA,NA,NA,"1979-11-01","","2010-07-07","2010-07-24","MALE"
"ID0008",10,8,NA,NA,NA,NA,"1984-11-01","","2010-12-15","2011-05-01","MALE"
"ID0009",NA,NA,NA,4,7,9,"2010-11-01","2015-07-18","2019-11-10","","MALE"
"ID0010",17,29,36,65,26,18,"1998-12-12","2002-02-06","2019-07-19","2019-07-26","FEMALE"
"ID0011",36,22,22,54,23,26,"2003-01-21","2006-07-08","2019-12-07","","MALE"
"ID0012",NA,NA,10,8,7,9,"2008-11-01","2012-08-16","2019-10-20","","MALE"
"ID0013",15,22,20,21,23,12,"1972-11-01","","2019-12-04","","FEMALE"
"ID0014",10,21,30,47,31,18,"1986-11-01","1989-12-03","2019-12-02","","MALE"
"ID0015",NA,NA,25,17,18,17,"2009-11-20","2012-06-17","2019-12-04","","MALE"
"ID0016",24,31,24,49,28,22,"1988-10-06","1992-05-07","2019-12-04","","MALE"
"ID0017",5,6,5,6,6,6,"2001-11-01","2005-08-31","2019-09-24","","FEMALE"
"ID0018",6,7,NA,NA,NA,NA,"1990-10-01","1994-09-17","2010-11-01","2011-05-01","FEMALE"
"ID0019",8,5,11,14,6,6,"1994-11-01","1997-06-22","2019-07-03","","FEMALE"
"ID0020",7,15,16,15,10,9,"2001-11-01","2005-01-28","2019-12-07","","MALE"
"ID0021",NA,NA,NA,11,15,16,"2011-02-15","2014-10-15","2019-12-03","","FEMALE"
