"Dolphin.ID","T2008","T2010","T2012","T2014","T2016","T2018","Birth.Date","Weaning.Date","Last.Sighting.Date","Death.Date","Sex"
"ID0001",5,3,2,2,2,8,"1994-11-01","","2019-09-30","","MALE"
"ID0002",3,3,3,3,2,7,"1997-09-15","2003-06-04","2019-11-16","","MALE"
"ID0003",1,4,5,5,1,NA,"1980-11-01","","2016-05-30","","MALE"
"ID0004",2,2,11,9,6,5,"2001-11-01","","2019-05-15","","FEMALE"
"ID0005",3,2,3,9,6,3,"1988-11-01","","2019-09-30","","FEMALE"
"ID0006",2,4,12,4,NA,NA,"1996-11-01","2000-05-14","2015-09-18","2016-05-01","FEMALE"
"ID0007",4,2,5,14,7,6,"1986-11-01","","2019-11-23","","FEMALE"
"ID0008",NA,NA,4,14,8,6,"2009-11-01","2013-06-08","2019-09-24","","FEMALE"
"ID0009",3,5,0,NA,NA,NA,"1973-11-01","","2013-06-22","2014-05-01","MALE"
"ID0010",0,2,5,5,2,NA,"1976-11-01","","2017-10-20","","MALE"
"ID0011",0,0,4,5,2,5,"1992-11-01","","2019-11-23","","MALE"
"ID0012",1,0,5,3,1,0,"1998-11-01","","2019-05-14","","MALE"
"ID0013",2,0,3,3,3,9,"1999-11-01","2003-04-08","2019-10-30","","MALE"
"ID0014",4,5,14,3,NA,NA,"1980-11-01","","2015-05-12","2017-05-01","MALE"
"ID0015",12,13,21,18,14,15,"2004-01-01","2007-05-30","2019-12-04","","FEMALE"
"ID0016",0,1,6,3,NA,NA,"1991-11-01","","2015-11-28","","FEMALE"
"ID0017",1,8,14,7,4,3,"1985-11-01","1989-05-01","2019-12-03","","FEMALE"
"ID0018",0,1,3,6,2,1,"1988-11-01","","2019-11-08","","FEMALE"
"ID0019",4,6,9,13,7,2,"1982-11-01","","2019-10-09","","FEMALE"
"ID0020",2,0,3,3,1,10,"1996-11-01","2003-02-25","2019-11-16","","MALE"
"ID0021",0,5,5,1,NA,NA,"1989-11-01","","2014-06-29","","MALE"
"ID0022",12,19,5,NA,NA,NA,"1972-11-01","","2013-05-19","2014-05-01","MALE"
"ID0023",NA,NA,NA,4,0,8,"2009-11-01","2014-03-13","2019-10-20","","MALE"
"ID0024",3,4,9,6,9,NA,"1991-11-01","","2017-11-10","","MALE"
"ID0025",4,4,5,2,1,1,"1997-11-01","2003-09-09","2019-05-27","","MALE"
"ID0026",16,23,29,36,22,15,"1975-11-01","","2019-12-03","","MALE"
"ID0027",3,5,4,6,2,3,"1995-05-01","1999-06-26","2019-06-20","","MALE"
"ID0028",4,2,14,1,NA,NA,"1972-11-01","","2014-07-26","2016-05-01","FEMALE"
"ID0029",1,4,8,7,NA,NA,"1998-12-15","2005-02-07","2015-09-09","","MALE"
"ID0030",11,21,22,16,10,7,"1970-11-01","","2019-12-06","","FEMALE"
"ID0031",8,7,11,9,7,4,"1996-11-01","","2019-08-03","","FEMALE"
"ID0032",NA,NA,NA,32,21,28,"2011-11-20","2015-06-03","2019-12-07","","FEMALE"
"ID0033",1,4,7,4,NA,NA,"1986-11-01","","2015-09-09","2017-05-01","MALE"
"ID0034",5,4,NA,NA,NA,NA,"1979-11-01","","2010-07-07","2010-07-24","MALE"
"ID0035",4,14,18,8,14,4,"2000-11-01","2005-06-05","2019-07-03","","MALE"
"ID0036",7,10,4,18,19,7,"2000-11-01","","2018-09-22","","FEMALE"
"ID0037",10,8,NA,NA,NA,NA,"1984-11-01","","2010-12-15","2011-05-01","MALE"
"ID0038",4,7,10,9,6,5,"1981-11-01","","2019-07-17","","FEMALE"
"ID0039",3,3,6,4,2,1,"1977-11-01","","2019-12-03","","FEMALE"
"ID0040",NA,NA,NA,1,3,5,"2010-11-15","2014-10-03","2019-12-03","","FEMALE"
"ID0041",NA,NA,NA,4,7,9,"2010-11-01","2015-07-18","2019-11-10","","MALE"
"ID0042",17,29,36,65,26,18,"1998-12-12","2002-02-06","2019-07-19","2019-07-26","FEMALE"
"ID0043",3,0,4,2,2,10,"1995-11-01","2002-02-15","2019-10-30","","MALE"
"ID0044",36,22,22,54,24,26,"2003-01-21","2006-07-08","2019-12-07","","MALE"
"ID0045",5,1,4,3,NA,NA,"1995-05-01","1998-08-01","2015-10-01","","MALE"
"ID0046",1,5,6,5,1,NA,"2002-11-01","2006-08-30","2016-05-20","","FEMALE"
"ID0047",NA,NA,10,8,7,9,"2008-11-01","2012-08-16","2019-10-20","","MALE"
"ID0048",15,22,20,21,23,12,"1972-11-01","","2019-12-04","","FEMALE"
"ID0049",0,1,8,5,4,NA,"1996-12-12","2000-01-26","2017-07-24","","FEMALE"
"ID0050",NA,NA,NA,NA,12,3,"2011-11-15","2016-05-11","2018-09-22","","FEMALE"
"ID0051",NA,0,7,11,3,3,"2008-01-15","2011-08-07","2019-10-09","","FEMALE"
"ID0052",10,21,31,47,31,18,"1986-11-01","1989-12-03","2019-12-02","","MALE"
"ID0053",NA,NA,25,17,18,17,"2009-11-20","2012-06-17","2019-12-04","","MALE"
"ID0054",3,4,10,3,NA,NA,"2000-05-01","2004-02-12","2015-09-02","","FEMALE"
"ID0055",8,2,12,4,6,2,"1997-11-01","2005-03-05","2018-08-19","","FEMALE"
"ID0056",0,0,3,6,2,2,"1993-11-01","","2019-07-02","","FEMALE"
"ID0057",0,0,0,3,5,NA,"1993-11-01","","2016-07-15","","FEMALE"
"ID0058",NA,NA,2,8,NA,NA,"2009-01-03","2012-07-22","2015-07-18","","UNKNOWN"
"ID0059",0,4,13,16,7,7,"1992-11-01","1996-02-08","2019-09-25","","FEMALE"
"ID0060",3,2,2,8,0,4,"1996-11-01","2000-05-01","2019-10-03","","FEMALE"
"ID0061",2,4,12,7,9,5,"1999-11-01","2003-01-15","2019-12-07","","FEMALE"
"ID0062",0,2,4,3,5,4,"2007-01-21","2009-08-13","2019-11-16","","FEMALE"
"ID0063",1,4,5,NA,NA,NA,"1977-11-01","","2013-11-09","2015-05-01","MALE"
"ID0064",24,31,24,49,29,22,"1988-10-06","1992-05-07","2019-12-04","","MALE"
"ID0065",5,6,5,6,6,6,"2001-11-01","2005-08-31","2019-09-24","","FEMALE"
"ID0066",6,7,NA,NA,NA,NA,"1990-10-01","1994-09-17","2010-11-01","2011-05-01","FEMALE"
"ID0067",0,0,5,5,2,4,"1996-11-01","","2019-11-16","","MALE"
"ID0068",8,6,11,14,7,6,"1994-11-01","1997-06-22","2019-07-03","","FEMALE"
"ID0069",3,6,14,NA,NA,NA,"1995-11-01","","2013-06-21","2014-05-01","FEMALE"
"ID0070",0,0,4,5,1,4,"1994-11-01","","2019-11-16","","MALE"
"ID0071",1,0,3,5,1,5,"1998-11-01","","2019-10-09","","FEMALE"
"ID0072",NA,NA,3,5,2,5,"2010-02-01","2013-03-27","2019-07-18","","FEMALE"
"ID0073",7,15,16,15,12,9,"2001-11-01","2005-01-28","2019-12-07","","MALE"
"ID0074",3,2,3,5,10,5,"1989-11-01","","2019-10-09","","FEMALE"
"ID0075",5,6,15,10,4,7,"1988-11-01","","2019-12-04","","MALE"
"ID0076",4,6,11,10,3,4,"1978-11-01","","2019-08-03","","MALE"
"ID0077",NA,NA,8,6,2,1,"2008-09-01","2012-03-23","2019-07-18","","MALE"
"ID0078",9,8,4,7,1,NA,"1994-11-01","1998-12-10","2016-05-19","","MALE"
"ID0079",3,2,3,5,0,2,"1986-11-01","","2019-12-03","","MALE"
"ID0080",1,3,16,9,6,NA,"2005-11-01","2009-05-01","2017-11-06","","MALE"
"ID0081",NA,NA,NA,11,15,16,"2011-02-15","2014-10-15","2019-12-03","","FEMALE"
"ID0082",0,3,5,NA,NA,NA,"1971-11-01","","2013-11-09","2016-05-01","MALE"
"ID0083",9,20,27,29,23,17,"1986-11-01","","2019-12-02","","MALE"
"ID0084",17,19,12,17,15,7,"1986-11-01","1992-03-10","2019-12-04","","FEMALE"
"ID0085",1,3,0,3,6,3,"1991-11-01","","2019-10-30","","FEMALE"
"ID0086",9,15,27,24,26,12,"1985-11-01","","2019-12-02","","MALE"
"ID0087",21,32,20,20,24,16,"1999-10-15","2003-10-04","2019-12-04","","FEMALE"
"ID0088",NA,NA,NA,5,2,2,"2009-11-01","2014-03-17","2019-07-03","","UNKNOWN"
"ID0089",0,3,8,10,4,1,"1993-12-22","1998-03-07","2018-09-16","","FEMALE"
"ID0090",5,7,6,15,10,NA,"1998-11-01","2001-06-01","2017-10-02","","FEMALE"
"ID0091",5,NA,NA,NA,NA,NA,"2004-11-20","2008-07-07","2009-11-30","2012-05-01","MALE"
"ID0092",NA,9,35,57,NA,NA,"2008-10-17","2011-04-24","2015-12-02","2016-05-01","MALE"
"ID0093",30,32,49,63,38,38,"2003-11-19","2007-06-03","2019-12-07","","FEMALE"
"ID0094",7,3,11,10,3,NA,"1991-11-01","1994-12-30","2017-05-30","","MALE"
"ID0095",0,3,20,14,6,NA,"1974-11-01","","2016-10-22","","FEMALE"
"ID0096",6,1,3,4,1,3,"1989-11-01","1993-06-30","2019-05-15","","MALE"
"ID0097",6,8,12,11,NA,NA,"1985-11-01","","2015-09-29","2017-05-01","MALE"
"ID0098",NA,1,10,5,5,4,"2006-11-01","2010-07-30","2019-07-02","","FEMALE"
"ID0099",1,0,9,7,1,5,"1991-11-01","","2019-07-18","","FEMALE"
"ID0100",1,0,5,10,3,2,"1994-11-01","","2019-07-17","","MALE"
"ID0101",0,0,5,3,NA,NA,"1996-11-01","","2014-12-27","","MALE"
