,x,Birth Year
1,R1,1966
2,R2,1984
3,R3,1972
4,R4,1957
5,R5,1983
6,R6,1954
7,R8,1965
8,R9,1978
9,R10,1955
10,R11,1985
11,R12,1967
12,R13,1965
13,R14,1970
14,R15,1978
15,R16,1964
16,R17,1972
17,R18,1986
18,R30,1970
19,R21,1983
20,R22,1960
21,R25,1971
22,R27,1955
23,R27.89,1989
24,R28,1975
25,R28.90,1990
26,M16,1957
27,M19,1976
28,M20,1980
29,R34,1970
30,R35,1980
31,R36,1960
32,R37,1956
33,R38,1978
34,M1.88,1988
35,M2,1958
36,M3,1960
37,M7,1971
38,M8,1960
39,M24,1959
40,M27,1958
41,M28,1973
42,M31.88,1988
43,M32,1970
44,M34,1973
45,M36,1977
46,M37.89,1989
47,M39,1968
48,M45,1963
49,M49,1970
50,M50,1973
51,M51,1955
52,M52,1948
53,M53,1953
54,M54,1966
55,M55,1968
56,M56,1964
57,M56.87,1987
58,M57,1986
59,M58,1958
60,M59,1966
61,M60,1981
62,M61,1984
63,M64,1973
64,M65,1965
65,M67,1967
66,M68,1976
67,M70,1978
68,M71,1966
69,M72,1986
70,M73,1969
71,M74,1987
72,R1.91,1991
73,R3.90,1990
74,R6.90,1990
75,R8.88,1988
76,R10.91,1991
77,R10.87,1987
78,R14.89,1989
79,R19.92,1992
80,R25.90,1990
81,R37.91,1991
82,R39,1987
83,M2.92,1992
84,M7.89,1989
85,M15,1987
86,M37.92,1992
87,M38.91,1991
88,M41,1968
89,M41.92,1992
90,M42,1972
91,M43,1976
92,M44,1980
93,M56.91,1991
94,M58.91,1991
95,M59.92,1992
96,S92,1982
97,R10.98,1998
98,R11.95,1995
99,R17.88,1988
100,R18.99,1999
101,M17.95,1995
102,M18.99a,1999
103,M18.95,1995
104,M19.95,1995
105,M11.91,1991
106,M12,1987
107,M13.02,2002
108,M14,1968
109,M14.93,1993
110,M56.9101,2001
111,M57.95,1995
112,M62.95,1995
113,M62.91,1991
114,M68.00,2000
115,M69.93,1993
116,M71.00,2000
117,M77,1992
118,M78,1992
119,S91.97,1997
120,S91.93,1993
121,S92.94,1994
