sname,sex,birth,statdate,mom,dad
ASH,F,1992-01-09,2000-10-03,ALF,INZ
DOT,F,1973-06-21,2001-02-25,ALT,\N
ABB,F,1998-09-10,2008-02-08,ASH,EDW
ACA,F,1997-01-26,2008-06-28,ASH,AMA
DOV,F,1989-10-06,2002-03-30,DOT,GIZ
DUI,F,1995-02-05,2008-06-28,DOT,TUZ
DIC,F,2001-07-02,2008-06-28,DOV,LIB
DUN,F,1996-01-31,2008-06-28,DOV,TUZ
EEL,F,2001-03-31,2001-08-19,ECH,\N
ELB,F,1999-08-28,2004-06-24,ECH,POW
ECH,F,1991-09-21,2008-06-28,ELL,INZ
OPU,F,2001-07-05,2003-01-08,OBI,POW
OBI,F,1996-01-09,2004-12-30,OCH,TUZ
OXY,F,1999-06-29,2008-06-28,OFR,POW
OCH,F,1990-04-17,1997-07-14,OMO,TYC
OTT,F,1998-03-02,1998-04-07,OMO,\N
OZO,F,2000-05-30,2004-02-23,OMO,POW
OFR,F,1992-01-11,2008-02-09,OMO,INZ
OPH,F,1999-01-24,2008-06-28,OMO,EDW
OST,F,1992-01-10,2004-07-23,ORE,INZ
OMO,F,1983-07-25,2005-02-09,ORE,\N
ORI,F,1999-06-09,2007-08-13,OST,POW
ONY,F,2000-12-04,2008-06-28,OST,POW
YAI,F,2000-09-25,2008-06-28,VAA,LOF
VIX,F,1977-10-01,1999-04-23,VEE,\N
VIO,F,1994-05-19,2005-04-08,VEL,TUZ
EVA,F,2000-06-11,2008-06-28,VEL,LOF
VOW,F,1997-03-28,2008-06-28,VEL,AMA
VIG,F,1998-06-29,2008-06-28,VET,AMA
VAA,F,1995-02-11,2008-06-28,VIN,TUZ
YOG,F,2000-01-10,2008-06-28,VIN,MLO
VED,F,2000-07-18,2000-11-13,VIV,\N
VEX,F,1998-08-18,2008-06-28,VIV,ORB
VOG,F,1997-02-08,2008-06-28,VIV,VEG
VOR,F,1987-04-01,2005-11-05,VIX,GOL
VEL,F,1988-11-03,2008-06-28,VIX,\N
VET,F,1993-01-13,2008-06-28,VIX,INZ
VIN,F,1990-02-07,2008-06-28,VIX,GIZ
VIV,F,1985-09-19,2008-06-28,VIX,KOJ
RAN,F,2001-06-24,2008-06-28,VOR,LIB
VAI,F,1998-04-22,2008-06-28,VOR,ROY
VOT,F,1994-10-24,2008-06-28,VOR,TUZ
RID,F,2000-07-17,2000-07-18,VOT,\N
RHO,F,2001-05-27,2008-06-28,VOT,KER
DOW,M,1984-07-06,1998-12-08,\N,\N
UDA,M,1989-01-07,1999-11-05,\N,VEC
EDW,M,1988-07-06,2000-10-03,\N,\N
PIS,M,1987-01-06,2000-12-31,\N,\N
APH,M,1987-01-01,2002-01-15,\N,\N
KHA,M,1989-07-04,2002-02-21,\N,\N
VEG,M,1988-01-06,2002-02-23,\N,\N
ORB,M,1989-07-06,2004-01-12,\N,\N
ICA,M,1986-11-29,2004-07-14,\N,\N
AMA,M,1986-01-01,2007-05-03,\N,\N
IAG,M,1989-06-26,2007-05-28,\N,\N
MOR,M,1987-01-01,2007-05-31,\N,\N
TIN,M,1988-06-19,2007-11-03,\N,\N
ADO,M,2000-02-13,2000-10-15,ASH,POW
DIV,M,1992-07-10,1999-08-14,DOT,INZ
DAL,M,1987-10-26,2001-09-20,DOT,\N
DOX,M,1998-08-10,2001-05-18,DOV,PIS
DEA,M,1994-09-13,2006-04-25,DOV,TUZ
DAG,M,2000-01-07,2008-06-27,DOV,PIS
DUB,M,1997-05-11,2008-06-27,DOV,PIS
DAS,M,2000-10-21,2008-06-28,DUI,POW
ELV,M,1998-01-20,2008-06-27,ECH,PIS
HYR,M,1989-08-17,2006-05-09,HEI,NEP
KER,M,1992-10-06,2008-04-14,KEL,PEP
LOF,M,1992-05-21,2008-06-28,LAM,FAV
LIB,M,1992-09-28,2008-06-30,LEL,POL
LIO,M,1992-01-04,2005-02-25,LIN,DIS
MLO,M,1987-09-08,2004-06-15,MOJ,LEO
OLY,M,1998-08-27,1998-08-28,OFR,\N
OOZ,M,2001-05-18,2005-08-25,OFR,POW
OKO,M,1995-05-16,2001-05-24,OMO,TUZ
OCE,M,1996-12-28,2007-11-03,OMO,VEG
ORY,M,1990-03-11,2007-09-08,ORE,GIZ
OAT,M,1997-12-11,1998-10-16,OST,ROY
POW,M,1990-10-20,2004-05-08,PRU,DIS
ROY,M,1989-12-05,1997-11-15,RAH,RAD
TUZ,M,1985-05-23,1999-05-10,SYB,LEO
VIA,M,1998-10-18,2001-12-12,VEL,ORB
VEI,M,1995-08-30,2008-06-27,VEL,TUZ
THR,M,2000-02-15,2008-06-28,VET,VEG
VOC,M,1998-07-30,1999-07-09,VIN,PIS
VAP,M,1996-12-21,2008-06-27,VIN,TUZ
YAN,M,2001-07-05,2008-06-28,VIN,KER
EPS,M,2000-02-15,2001-04-22,VIO,LIO
VAZ,M,1995-02-14,2002-10-17,VIV,TUZ
VIL,M,1993-02-04,2008-03-22,VIV,INZ
VIP,M,1991-11-29,2007-06-06,VIX,NGG
VIB,M,1998-08-29,2008-06-27,VIX,MLO
VOY,M,1997-02-12,2008-06-27,VIX,PIS
ROM,M,2000-05-27,2000-11-06,VOR,\N
VAT,M,1997-01-18,2001-05-05,VOR,MLO
VAN,M,1992-08-10,2003-08-16,VOR,INZ
