sname,sex,birth,statdate,mom,dad
ASH,F,1992-01-09T00:00:00Z,2000-10-03T00:00:00Z,ALF,INZ
DOT,F,1973-06-21T00:00:00Z,2001-02-25T00:00:00Z,ALT,\N
ABB,F,1998-09-10T00:00:00Z,2008-02-08T00:00:00Z,ASH,EDW
ACA,F,1997-01-26T00:00:00Z,2008-06-28T00:00:00Z,ASH,AMA
DOV,F,1989-10-06T00:00:00Z,2002-03-30T00:00:00Z,DOT,GIZ
DUI,F,1995-02-05T00:00:00Z,2008-06-28T00:00:00Z,DOT,TUZ
DIC,F,2001-07-02T00:00:00Z,2008-06-28T00:00:00Z,DOV,LIB
DUN,F,1996-01-31T00:00:00Z,2008-06-28T00:00:00Z,DOV,TUZ
EEL,F,2001-03-31T00:00:00Z,2001-08-19T00:00:00Z,ECH,\N
ELB,F,1999-08-28T00:00:00Z,2004-06-24T00:00:00Z,ECH,POW
ECH,F,1991-09-21T00:00:00Z,2008-06-28T00:00:00Z,ELL,INZ
OPU,F,2001-07-05T00:00:00Z,2003-01-08T00:00:00Z,OBI,POW
OBI,F,1996-01-09T00:00:00Z,2004-12-30T00:00:00Z,OCH,TUZ
OXY,F,1999-06-29T00:00:00Z,2008-06-28T00:00:00Z,OFR,POW
OCH,F,1990-04-17T00:00:00Z,1997-07-14T00:00:00Z,OMO,TYC
OTT,F,1998-03-02T00:00:00Z,1998-04-07T00:00:00Z,OMO,\N
OZO,F,2000-05-30T00:00:00Z,2004-02-23T00:00:00Z,OMO,POW
OFR,F,1992-01-11T00:00:00Z,2008-02-09T00:00:00Z,OMO,INZ
OPH,F,1999-01-24T00:00:00Z,2008-06-28T00:00:00Z,OMO,EDW
OST,F,1992-01-10T00:00:00Z,2004-07-23T00:00:00Z,ORE,INZ
OMO,F,1983-07-25T00:00:00Z,2005-02-09T00:00:00Z,ORE,\N
ORI,F,1999-06-09T00:00:00Z,2007-08-13T00:00:00Z,OST,POW
ONY,F,2000-12-04T00:00:00Z,2008-06-28T00:00:00Z,OST,POW
YAI,F,2000-09-25T00:00:00Z,2008-06-28T00:00:00Z,VAA,LOF
VIX,F,1977-10-01T00:00:00Z,1999-04-23T00:00:00Z,VEE,\N
VIO,F,1994-05-19T00:00:00Z,2005-04-08T00:00:00Z,VEL,TUZ
EVA,F,2000-06-11T00:00:00Z,2008-06-28T00:00:00Z,VEL,LOF
VOW,F,1997-03-28T00:00:00Z,2008-06-28T00:00:00Z,VEL,AMA
VIG,F,1998-06-29T00:00:00Z,2008-06-28T00:00:00Z,VET,AMA
VAA,F,1995-02-11T00:00:00Z,2008-06-28T00:00:00Z,VIN,TUZ
YOG,F,2000-01-10T00:00:00Z,2008-06-28T00:00:00Z,VIN,MLO
VED,F,2000-07-18T00:00:00Z,2000-11-13T00:00:00Z,VIV,\N
VEX,F,1998-08-18T00:00:00Z,2008-06-28T00:00:00Z,VIV,ORB
VOG,F,1997-02-08T00:00:00Z,2008-06-28T00:00:00Z,VIV,VEG
VOR,F,1987-04-01T00:00:00Z,2005-11-05T00:00:00Z,VIX,GOL
VEL,F,1988-11-03T00:00:00Z,2008-06-28T00:00:00Z,VIX,\N
VET,F,1993-01-13T00:00:00Z,2008-06-28T00:00:00Z,VIX,INZ
VIN,F,1990-02-07T00:00:00Z,2008-06-28T00:00:00Z,VIX,GIZ
VIV,F,1985-09-19T00:00:00Z,2008-06-28T00:00:00Z,VIX,KOJ
RAN,F,2001-06-24T00:00:00Z,2008-06-28T00:00:00Z,VOR,LIB
VAI,F,1998-04-22T00:00:00Z,2008-06-28T00:00:00Z,VOR,ROY
VOT,F,1994-10-24T00:00:00Z,2008-06-28T00:00:00Z,VOR,TUZ
RID,F,2000-07-17T00:00:00Z,2000-07-18T00:00:00Z,VOT,\N
RHO,F,2001-05-27T00:00:00Z,2008-06-28T00:00:00Z,VOT,KER
DOW,M,1984-07-06T00:00:00Z,1998-12-08T00:00:00Z,\N,\N
UDA,M,1989-01-07T00:00:00Z,1999-11-05T00:00:00Z,\N,VEC
EDW,M,1988-07-06T00:00:00Z,2000-10-03T00:00:00Z,\N,\N
PIS,M,1987-01-06T00:00:00Z,2000-12-31T00:00:00Z,\N,\N
APH,M,1987-01-01T00:00:00Z,2002-01-15T00:00:00Z,\N,\N
KHA,M,1989-07-04T00:00:00Z,2002-02-21T00:00:00Z,\N,\N
VEG,M,1988-01-06T00:00:00Z,2002-02-23T00:00:00Z,\N,\N
ORB,M,1989-07-06T00:00:00Z,2004-01-12T00:00:00Z,\N,\N
ICA,M,1986-11-29T00:00:00Z,2004-07-14T00:00:00Z,\N,\N
AMA,M,1986-01-01T00:00:00Z,2007-05-03T00:00:00Z,\N,\N
IAG,M,1989-06-26T00:00:00Z,2007-05-28T00:00:00Z,\N,\N
MOR,M,1987-01-01T00:00:00Z,2007-05-31T00:00:00Z,\N,\N
TIN,M,1988-06-19T00:00:00Z,2007-11-03T00:00:00Z,\N,\N
ADO,M,2000-02-13T00:00:00Z,2000-10-15T00:00:00Z,ASH,POW
DIV,M,1992-07-10T00:00:00Z,1999-08-14T00:00:00Z,DOT,INZ
DAL,M,1987-10-26T00:00:00Z,2001-09-20T00:00:00Z,DOT,\N
DOX,M,1998-08-10T00:00:00Z,2001-05-18T00:00:00Z,DOV,PIS
DEA,M,1994-09-13T00:00:00Z,2006-04-25T00:00:00Z,DOV,TUZ
DAG,M,2000-01-07T00:00:00Z,2008-06-27T00:00:00Z,DOV,PIS
DUB,M,1997-05-11T00:00:00Z,2008-06-27T00:00:00Z,DOV,PIS
DAS,M,2000-10-21T00:00:00Z,2008-06-28T00:00:00Z,DUI,POW
ELV,M,1998-01-20T00:00:00Z,2008-06-27T00:00:00Z,ECH,PIS
HYR,M,1989-08-17T00:00:00Z,2006-05-09T00:00:00Z,HEI,NEP
KER,M,1992-10-06T00:00:00Z,2008-04-14T00:00:00Z,KEL,PEP
LOF,M,1992-05-21T00:00:00Z,2008-06-28T00:00:00Z,LAM,FAV
