,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R30,R31,R21,R22,R22.89,R23,R24,R25,R26,R27,R27.89,R28,R28.90,R29,M16,M17,M18,M19,M20,R34,R35,R36,R37,R38,M1.88,M2,M3,M4,M5,M6,M7,M8,M8.88,M9,M10,M24,M25,M26,M27,M28,M30,M31,M31.88,M32,M33,M34,M35,M36,M37.89,M39,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M56.87,M57,M58,M59,M60,M61,M63,M64,M65,M67,M68,M69,M70,M71,M72,M73,M74
R1,0,0.038961039,0.025974026,0.983606557,0.984375,0.984,0.983606557,0.986206897,0.983471074,0.90070922,0.899280576,0.663461538,0.938461538,0.938596491,0.946428571,0.912698413,0.988304094,0.986928105,0.970760234,0.975609756,0.975,0.974489796,0.975609756,0.975369458,0.975,0.994652406,0.994818653,0.990654206,0.985915493,0.99078341,0.975,0.994923858,0.965811966,0.965811966,0.962264151,0.974576271,0.965811966,0.96124031,0.9609375,0.977272727,0.976744186,0.977099237,1,0.954954955,0.956521739,0.955357143,0.955357143,0.953703704,0.955357143,0.95412844,1,0.963768116,0.955357143,1,1,1,0.992857143,0.992805755,0.973684211,0.965277778,0.955555556,0.962962963,0.979166667,0.978723404,0.97972973,0.985815603,0.9375,0.955414013,0.97972973,0.979591837,0.979591837,0.982248521,0.99382716,0.992424242,0.993197279,0.97761194,0.992366412,0.992366412,0.97761194,0.948717949,1,0.948717949,0.966942149,0.966666667,0.966666667,0.966101695,0.96875,0.968503937,1,0.984375,0.984126984,1,1,0.94488189,0.948717949,0.962406015,0.957983193
R2,0.038961039,0,0.013333333,0.983193277,0.984,0.983606557,0.983193277,0.985915493,0.983050847,0.898550725,0.897058824,0.653465347,0.937007874,0.936936937,0.944954128,0.910569106,0.988095238,0.986666667,0.970238095,0.97515528,0.974358974,0.974093264,0.974683544,0.975,0.974619289,0.994565217,0.994736842,0.990521327,0.985294118,0.990654206,0.972972973,0.994845361,0.964912281,0.964912281,0.961165049,0.973913043,0.964912281,0.96031746,0.96,0.976744186,0.976190476,0.9765625,1,0.953703704,0.955357143,0.95412844,0.95412844,0.952380952,0.95412844,0.952830189,1,0.962962963,0.95412844,1,1,1,0.99270073,0.992647059,0.972972973,0.964539007,0.952380952,0.962121212,0.978723404,0.97826087,0.979310345,0.985507246,0.931034483,0.954545455,0.979310345,0.979166667,0.979166667,0.981927711,0.993710692,0.992248062,0.993055556,0.977099237,0.9921875,0.9921875,0.977099237,0.947368421,1,0.947368421,0.966101695,0.965811966,0.965811966,0.965217391,0.968,0.967741935,1,0.984,0.983739837,1,1,0.943548387,0.947368421,0.961538462,0.956896552
R3,0.025974026,0.013333333,0,0.983333333,0.984126984,0.983739837,0.983333333,0.986013986,0.983193277,0.899280576,0.897810219,0.656862745,0.9375,0.9375,0.945454545,0.911290323,0.98816568,0.986754967,0.970414201,0.975308642,0.974576271,0.974226804,0.975,0.975124378,0.974747475,0.994594595,0.994764398,0.990566038,0.985507246,0.990697674,0.973684211,0.994871795,0.965217391,0.965217391,0.961538462,0.974137931,0.965217391,0.960629921,0.96031746,0.976923077,0.976377953,0.976744186,1,0.95412844,0.955752212,0.954545455,0.954545455,0.952830189,0.954545455,0.953271028,1,0.963235294,0.954545455,1,1,1,0.992753623,0.99270073,0.973214286,0.964788732,0.953488372,0.962406015,0.978873239,0.978417266,0.979452055,0.985611511,0.933333333,0.95483871,0.979452055,0.979310345,0.979310345,0.982035928,0.99375,0.992307692,0.993103448,0.977272727,0.992248062,0.992248062,0.977272727,0.947826087,1,0.947826087,0.966386555,0.966101695,0.966101695,0.965517241,0.968253968,0.968,1,0.984126984,0.983870968,1,1,0.944,0.947826087,0.961832061,0.957264957
R4,0.983606557,0.983193277,0.983333333,0,0.591549296,0.236363636,0.350877193,0.670454545,0.611940299,0.991935484,0.991803279,0.990740741,1,1,1,0.980952381,0.985815603,0.991935484,0.986111111,0.977777778,0.989130435,0.98816568,1,0.988636364,0.988439306,1,1,0.989130435,1,0.989304813,1,0.987951807,1,1,1,1,1,0.990291262,0.990196078,0.990384615,0.99009901,0.980392157,1,1,1,1,1,1,1,1,1,1,1,0.983739837,0.983050847,0.98245614,0.981651376,0.981481481,1,0.991525424,1,0.990825688,1,1,1,1,1,0.992481203,0.991666667,0.991596639,0.991596639,0.971014493,0.9609375,0.98019802,0.982758621,0.971153846,0.98,0.96969697,0.971153846,1,1,1,1,1,1,1,1,1,0.993464052,0.75,0.790123457,0.986666667,0.9875,0.990291262,0.989130435,0.990654206,0.989247312
R5,0.984375,0.984,0.984126984,0.591549296,0,0.549295775,0.550724638,0.569767442,0.476923077,1,1,0.99122807,1,1,1,0.991071429,0.986394558,0.992307692,0.993377483,0.985915493,0.989795918,0.988571429,1,0.989010989,0.988826816,1,1,0.994764398,1,0.989637306,0.973684211,0.994219653,1,1,1,1,1,0.990825688,0.990740741,0.990909091,0.990654206,0.981481481,1,1,1,1,1,1,1,1,1,1,1,0.984496124,0.983870968,0.983333333,0.982608696,0.98245614,1,0.991935484,1,0.991304348,1,1,1,1,1,0.992805755,0.992063492,0.992,0.992,0.979310345,0.962686567,0.981308411,0.975206612,0.972727273,0.981132075,0.971428571,0.963302752,1,1,1,1,1,1,1,1,1,0.993710692,0.623376623,0.761904762,0.987654321,0.988372093,0.990825688,0.989795918,0.991150442,0.98989899
R6,0.984,0.983606557,0.983739837,0.236363636,0.549295775,0,0.327586207,0.651685393,0.608695652,0.992125984,0.992,0.990990991,1,1,1,0.981481481,0.986111111,0.992125984,0.986394558,0.97826087,0.989473684,0.988372093,1,0.988826816,0.988636364,1,1,0.989304813,1,0.989473684,1,0.98816568,1,1,1,1,1,0.990566038,0.99047619,0.990654206,0.990384615,0.980952381,1,1,1,1,1,1,1,1,1,1,1,0.984126984,0.983471074,0.982905983,0.982142857,0.981981982,1,0.991735537,1,0.991071429,1,1,1,1,1,0.992647059,0.991869919,0.991803279,0.991803279,0.971631206,0.961832061,0.980769231,0.983193277,0.971962617,0.970588235,0.970588235,0.971962617,1,1,1,1,1,1,1,1,1,0.993589744,0.743902439,0.768292683,0.987179487,0.987951807,0.990566038,0.989473684,0.990909091,0.989583333
R7,0.983606557,0.983193277,0.983333333,0.350877193,0.550724638,0.327586207,0,0.670454545,0.590909091,1,1,0.990740741,1,1,1,0.990566038,0.985815603,0.991935484,0.986111111,0.977777778,0.989130435,0.98816568,1,0.988636364,0.988439306,1,1,0.989130435,1,0.989304813,1,0.987951807,1,1,1,1,1,0.990291262,0.990196078,0.990384615,0.99009901,0.980392157,1,1,1,1,1,1,1,1,1,1,1,0.983739837,0.983050847,0.98245614,0.990909091,0.990825688,1,0.991525424,1,0.990825688,1,1,1,1,1,0.992481203,0.991666667,0.991596639,0.991596639,0.971014493,0.9609375,0.98019802,0.982758621,0.971153846,0.98,0.96969697,0.971153846,1,1,1,1,1,1,1,1,1,0.993464052,0.795180723,0.775,0.986666667,0.9875,0.990291262,0.989130435,0.990654206,0.989247312
R8,0.986206897,0.985915493,0.986013986,0.670454545,0.569767442,0.651685393,0.670454545,0,0.410958904,0.993197279,0.993103448,0.992366412,1,1,1,0.984375,0.987804878,0.993197279,0.988023952,0.981012658,0.991304348,0.989583333,1,0.989949749,0.989795918,0.994444444,0.989189189,0.990338164,1,0.99047619,1,0.989417989,1,1,1,1,1,0.992063492,0.992,0.992125984,0.991935484,0.984,1,1,1,1,1,1,1,1,1,0.992592593,1,0.979310345,0.985815603,0.98540146,0.984848485,0.984732824,1,0.992907801,1,0.992424242,1,1,1,1,1,0.993589744,0.993006993,0.992957746,0.992957746,0.981481481,0.973684211,0.983870968,0.985611511,0.968253968,0.983739837,0.966942149,0.96,1,1,1,1,1,1,1,1,1,0.994318182,0.757575758,0.79,0.989795918,0.990291262,0.992063492,0.991304348,0.992307692,0.99137931
R9,0.983471074,0.983050847,0.983193277,0.611940299,0.476923077,0.608695652,0.590909091,0.410958904,0,1,1,0.990654206,1,1,1,0.99047619,0.985714286,0.991869919,0.986013986,0.97761194,0.989010989,0.988095238,1,0.988571429,0.988372093,1,1,0.989071038,1,0.989247312,1,0.987878788,1,1,1,1,1,0.990196078,0.99009901,0.990291262,0.99,0.98019802,1,1,1,1,1,1,1,1,1,1,1,0.975206612,0.982905983,0.982300885,0.981481481,0.981308411,1,0.991452991,1,0.990740741,1,1,1,1,1,0.992424242,0.991596639,0.991525424,0.991525424,0.97826087,0.96875,0.98,0.982608696,0.970873786,0.97979798,0.969387755,0.960784314,1,1,1,1,1,1,1,1,1,0.993421053,0.730769231,0.772151899,0.986486486,0.987341772,0.990196078,0.989010989,0.990566038,0.989130435
R10,0.90070922,0.898550725,0.899280576,0.991935484,1,0.992125984,1,0.993197279,1,0,0.025641026,0.88,0.905511811,0.890909091,0.887850467,0.62,0.994219653,0.993548387,0.964912281,0.956790123,0.966666667,0.974619289,1,0.975490196,0.975124378,0.978378378,0.979057592,0.976415094,1,0.976744186,1,0.979487179,0.890909091,0.890909091,0.922330097,0.920353982,0.910714286,1,1,0.945736434,0.944444444,0.9453125,1,0.955357143,0.956896552,0.955752212,0.955752212,0.95412844,0.955752212,0.954545455,1,0.964028777,0.955752212,0.945945946,0.944055944,0.942446043,0.955882353,0.955555556,0.936936937,0.905109489,1,0.88976378,0.957746479,0.949275362,0.95890411,0.956521739,1,0.942307692,0.874074074,0.873134328,0.873134328,0.964071856,0.955414013,0.984848485,1,0.977777778,1,0.992424242,0.977777778,0.830188679,1,0.841121495,0.844036697,0.853211009,0.853211009,0.839622642,0.968992248,0.96875,0.989071038,0.992307692,0.9921875,0.990566038,0.990990991,0.953488372,0.966666667,0.831932773,0.991935484
