,R1,R1.91,R2,R3,R3.90,R4,R5,R6,R6.90,R7,R7.92,R8,R8.88,R9,R10,R10.91,R10.87,R11,R12,R13,R14,R14.89,R15,R16,R19.92,R19.88,R17,R18,R30,R31,R21,R22,R22.89,R23,R24,R25,R25.90,R26,R27,R27.89,R28,R28.90,R29,M16,M17,M17.90,M17.86,M18,M19,M20,R33,R34,R35,R36,R37,R37.91,R38,R39,M1.88,M2,M2.92,M3,M4,M5,M6,M7,M7.89,M8,M8.91,M8.88,M9,M10,M15,M24,M25,M26,M27,M27.91,M28,M30,M31,M31.88,M32,M33,M34,M35,M35.91,M36,M37.92,M37.89,M38.91,M39,M41,M41.92,M42,M43,M44,M45,M46,M47,M48,M50,M51,M52,M53,M54,M55,M56,M56.91,M56.87,M57,M58,M58.91,M59,M59.92,M60,M61,M63,M64,M65,M67,M67.90,M68,M69,M70,M71,M72,M73,M74,S92
R1,0,0.076923077,0.015384615,0.046875,0.083333333,1,1,1,1,1,1,1,1,1,0.971223022,1,0.969230769,0.962962963,0.830188679,0.958677686,0.953271028,0.968421053,0.951923077,0.927835052,1,0.984732824,1,0.983146067,0.994117647,0.994350282,0.965217391,0.991266376,0.991189427,0.991071429,0.991150442,0.991341991,1,0.991189427,0.99245283,0.992307692,0.992395437,0.992,0.992395437,0.93,0.952755906,0.975,1,0.946902655,0.959677419,0.951219512,0.9875,0.991596639,0.991150442,0.952,0.950819672,0.98,0.951612903,1,0.973451327,0.981707317,1,0.980645161,0.982248521,0.98245614,0.97972973,0.986206897,0.986206897,0.98089172,1,0.979452055,0.980769231,0.981012658,1,0.992537313,0.992125984,0.992592593,1,1,1,0.983193277,0.993377483,0.993243243,0.993288591,0.992125984,0.99122807,1,0.981818182,0.991666667,1,0.99137931,0.991071429,0.992125984,1,1,1,1,1,0.980263158,0.986928105,0.986206897,0.966666667,1,0.993055556,0.992647059,0.993150685,0.99270073,0.992537313,0.964912281,0.970873786,0.972727273,0.96460177,0.982905983,1,0.983050847,1,0.99137931,0.991452991,0.963855422,0.962962963,0.983333333,1,1,1,0.984251969,0.984,0.992,0.991935484,0.969924812,0.991735537,0.987341772
R1.91,0.076923077,0,0.111111111,0.041666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,0.954545455,0.973684211,1,0.945945946,1,0.979166667,0.974358974,1,1,0.971428571,0.971428571,1,0.972222222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,0.975609756,1,1,1,0.980769231,0.975609756,1,0.981132075,0.97826087,1,1,0.972222222,1,1,1,1,1,1,1,1,1,0.974358974,1,1,1,1,1,1,1,1,1,1,0.977777778,1,0.977777778,1,0.977777778,0.977777778,0.961538462,0.960784314,1,1,1,1,1,1,1,1,0.978723404,1,0.974358974
R2,0.015384615,0.111111111,0,0.061538462,0.12,1,1,1,1,1,1,1,1,1,0.964028777,0.982758621,0.961538462,0.955555556,0.830188679,0.959016393,0.953703704,0.96875,0.952380952,0.928571429,1,0.984848485,1,0.983240223,0.994152047,0.994382022,0.965517241,0.991304348,0.99122807,0.991111111,0.991189427,0.99137931,1,0.99122807,0.992481203,0.992337165,0.992424242,0.992031873,0.992424242,0.92,0.953125,0.975609756,1,0.947368421,0.951612903,0.943089431,0.987654321,0.991666667,0.99122807,0.952380952,0.951219512,0.980392157,0.952,1,0.973684211,0.981818182,1,0.980769231,0.982352941,0.98255814,0.979865772,0.98630137,0.98630137,0.981012658,1,0.979591837,0.98089172,0.981132075,1,0.992592593,0.9921875,0.992647059,1,1,1,0.983333333,0.993421053,0.993288591,0.993333333,0.984251969,0.98245614,0.992063492,0.963636364,0.983333333,1,0.991452991,0.991150442,0.9921875,1,1,1,1,1,0.980392157,0.987012987,0.98630137,0.966887417,1,0.993103448,0.99270073,0.993197279,0.992753623,0.992592593,0.965217391,0.971153846,0.972972973,0.964912281,0.983050847,1,0.983193277,1,0.991452991,0.991525424,0.964071856,0.963190184,0.983425414,1,1,1,0.984375,0.984126984,0.992063492,0.992,0.970149254,0.991803279,0.9875
R3,0.046875,0.041666667,0.061538462,0,0.045454545,1,1,1,1,1,1,1,1,1,0.970588235,1,0.968503937,0.962121212,0.830188679,0.966386555,0.951923077,0.967391304,0.95049505,0.936842105,1,0.984375,1,0.982857143,0.994011976,0.994252874,0.964285714,0.991150442,0.991071429,0.990950226,0.99103139,0.99122807,1,0.991071429,0.992366412,0.992217899,0.992307692,0.991902834,0.992307692,0.93,0.951612903,0.972972973,1,0.945454545,0.958677686,0.95,0.987012987,0.99137931,0.990909091,0.950819672,0.949579832,0.978723404,0.950413223,1,0.973451327,0.98136646,1,0.980263158,0.981927711,0.982142857,0.979310345,0.985915493,0.985915493,0.980519481,1,0.979020979,0.980392157,0.980645161,1,0.992366412,0.991935484,0.992424242,1,1,1,0.982758621,0.993243243,0.993103448,0.993150685,0.991935484,0.991071429,1,0.980769231,0.991452991,1,0.991150442,0.990825688,0.991935484,1,1,1,1,1,0.979865772,0.986666667,0.985915493,0.965986395,1,0.992907801,0.992481203,0.993006993,0.992537313,0.992366412,0.963963964,0.97,0.971962617,0.963636364,0.98245614,1,0.982608696,1,0.991150442,0.99122807,0.963190184,0.962264151,0.983050847,1,1,1,0.983870968,0.983606557,0.991803279,0.991735537,0.969230769,0.991525424,0.986842105
R3.90,0.083333333,0,0.12,0.045454545,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.975,1,1,0.96875,1,0.976744186,1,1,1,0.96875,0.96875,1,0.96969697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,0.974358974,1,1,1,0.979166667,0.972972973,1,0.979166667,0.976744186,1,1,0.96969697,1,1,1,1,1,1,1,1,1,0.971428571,1,1,1,1,1,1,1,1,1,1,0.975,1,0.975,1,0.975,0.975,0.958333333,0.957446809,1,1,1,1,1,1,1,1,0.977777778,1,0.971428571
R4,1,1,1,1,1,0,0.716216216,0.037037037,0.214285714,0.160714286,0.2,0.741573034,0.5625,0.772727273,1,1,1,1,1,0.973214286,0.969387755,0.964285714,0.968421053,0.989130435,0.941176471,0.967479675,0.952702703,0.963414634,0.967741935,0.962732919,0.981132075,0.990825688,0.990740741,0.990610329,0.990697674,0.972222222,0.979591837,0.971698113,0.976,0.979674797,0.979919679,0.978813559,0.979919679,1,1,1,1,1,1,1,1,0.981308411,0.98019802,1,1,1,1,1,0.990654206,0.987012987,1,0.986206897,0.987421384,0.98757764,0.985507246,0.985074627,0.985074627,0.986394558,1,0.99270073,0.993197279,0.986486486,0.983870968,0.957983193,0.955357143,0.958333333,1,0.968421053,1,0.990825688,0.985611511,0.985294118,0.98540146,1,1,1,1,1,1,1,0.980952381,0.991304348,1,1,1,1,1,0.971428571,0.971428571,0.985074627,0.978723404,0.975206612,0.96124031,0.967213115,0.96969697,0.967479675,0.975206612,1,1,1,1,1,1,1,1,1,1,1,1,0.988235294,0.8125,0.813333333,0.8375,0.991452991,0.991304348,0.963963964,0.963636364,0.992,0.972222222,1
R5,1,1,1,1,1,0.716216216,0,0.733333333,0.746478873,0.722222222,0.555555556,0.671052632,0.466666667,0.706666667,1,1,1,1,1,0.980392157,0.977272727,0.972972973,0.976470588,0.987654321,0.939393939,0.973451327,0.956521739,0.960784314,0.958041958,0.96,0.968085106,0.990338164,0.990243902,0.99009901,0.990196078,0.985576923,0.957446809,0.990243902,0.974895397,0.978723404,0.974683544,0.973214286,0.974683544,1,1,1,1,1,0.990566038,1,1,0.989690722,0.989010989,1,1,1,1,1,1,0.993055556,0.971428571,0.992592593,0.993288591,0.993377483,0.9921875,1,1,0.99270073,1,0.992063492,1,0.992753623,0.980392157,0.953703704,0.95049505,0.95412844,1,0.964285714,1,0.989795918,0.992248062,0.992063492,0.992125984,1,1,1,1,1,1,1,0.978723404,0.980769231,1,1,1,1,1,0.976923077,0.976923077,0.983739837,0.992424242,0.991071429,0.983471074,0.982300885,0.975409836,0.973451327,0.981981982,1,1,1,1,1,1,1,1,1,1,1,1,0.987421384,0.764705882,0.746031746,0.811594203,0.990566038,0.990384615,0.96,0.95959596,0.99122807,0.969072165,0.98245614
R6,1,1,1,1,1,0.037037037,0.733333333,0,0.214285714,0.192982456,0.2,0.727272727,0.5625,0.75862069,1,1,1,1,1,0.973214286,0.969387755,0.964285714,0.968421053,0.989130435,0.942857143,0.967479675,0.952702703,0.963414634,0.967741935,0.962732919,0.981132075,0.990825688,0.990740741,0.990610329,0.990697674,0.972222222,0.98,0.971698113,0.976,0.979674797,0.979919679,0.978813559,0.979919679,1,1,1,1,1,1,1,1,0.981308411,0.98019802,1,1,1,1,1,0.990654206,0.987012987,1,0.986206897,0.987421384,0.98757764,0.985507246,0.985074627,0.985074627,0.986394558,1,0.99270073,0.993197279,0.986486486,0.983870968,0.957983193,0.955357143,0.958333333,1,0.968421053,1,0.990825688,0.985611511,0.985294118,0.98540146,1,1,1,1,1,1,1,0.980952381,0.991304348,1,1,1,1,1,0.971428571,0.971428571,0.985074627,0.978723404,0.975206612,0.96124031,0.967213115,0.961832061,0.967479675,0.975206612,1,1,1,1,1,1,1,1,1,1,1,1,0.988235294,0.827160494,0.828947368,0.8375,0.991452991,0.991304348,0.963963964,0.963636364,0.992,0.972222222,1
R6.90,1,1,1,1,1,0.214285714,0.746478873,0.214285714,0,0.327586207,0.266666667,0.765432099,0.625,0.772151899,1,1,1,1,1,0.971428571,0.967391304,0.961538462,0.966292135,0.988235294,0.939393939,0.983193277,0.955882353,0.971830986,0.971428571,0.979020979,0.978723404,0.994680851,0.994623656,0.994708995,0.994594595,0.984210526,0.979166667,0.983957219,0.981042654,0.985507246,0.980861244,0.979695431,0.980769231,1,1,1,1,1,1,1,1,0.979381443,0.97826087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982142857,0.962616822,0.96,0.962616822,NA,0.962025316,NA,0.99009901,0.991525424,0.991304348,0.99137931,1,1,1,1,1,1,1,0.97979798,0.990291262,1,1,1,1,1,0.983739837,0.983739837,0.982608696,0.992063492,0.981481481,0.973214286,0.981132075,0.982608696,0.981308411,0.99047619,1,1,1,1,1,1,1,1,1,1,1,1,0.993548387,0.842105263,0.847222222,0.816901408,0.990654206,0.990566038,0.969387755,0.969072165,0.991150442,0.968421053,1
R7,1,1,1,1,1,0.160714286,0.722222222,0.192982456,0.327586207,0,0.142857143,0.747126437,0.533333333,0.793103448,1,1,1,1,1,0.972477064,0.968421053,0.962962963,0.967391304,0.988764045,0.939393939,0.966666667,0.95890411,0.969135802,0.967105263,0.962025316,0.980582524,0.99537037,0.995327103,0.995260664,0.995305164,0.971830986,0.979166667,0.971291866,0.975708502,0.979423868,0.979674797,0.978540773,0.979674797,1,1,1,1,1,1,1,1,0.99047619,0.98989899,1,1,1,1,1,0.99047619,0.986754967,1,0.985915493,0.987179487,0.987341772,0.985185185,0.984732824,0.984732824,0.986111111,1,0.992537313,0.993055556,0.986206897,0.983050847,0.965811966,0.963636364,0.966101695,1,0.967391304,1,0.990566038,0.985294118,0.984962406,0.985074627,1,1,1,1,1,1,1,0.980392157,0.991071429,1,1,1,1,1,0.97080292,0.97080292,0.984732824,0.97826087,0.974576271,0.96031746,0.966386555,0.976923077,0.966666667,0.974576271,1,1,1,1,1,1,1,1,1,1,1,1,0.988023952,0.835443038,0.837837838,0.846153846,0.99122807,0.991071429,0.962962963,0.962616822,0.991803279,0.971428571,1
