,R5.97,R7,R7.92,R8.00,R10.98,R10.91,R10.87,R11,R11.95,R13.95B,R19.88,R17,R17.88,R18,R18.99,R31,R31.96,R22.99,R22.92,R22.89,R23,R23.93,R24,R25.96,R26,R26.00,R27.99,R27.97,R28.99,R28.9000,R29,M17,M17.95,M17.90,M17.86,M18,M18.99a,M18.95,M19.99,M19.95,M20.95,R33,R38.01,M1.8800,M2,M2.96,M4,M5,M6,M6.99,M8.98,M8.91,M8.9102,M8.88,M8.8800,M9,M9.96,M10,M11.91,M12,M13.02,M14,M14.93,M23.91,M24.04,M24.90,M25,M25.00,M26,M27.91,M28.97,M28.94,M30,M30.97,M31,M33,M33.95,M34.92,M35,M35.91,M41,M45.97,M45.93,M46,M47,M48,M48.97,M48.93,M52.92,M53.95B,M54.00,M56,M56.91,M56.9101,M56.87,M57.95,M58.91,M61,M62.95,M62.91,M63,M63.01,M63.94,M64.99,M64.95,M65.93,M67.90,M68,M68.00,M69,M69.93,M71.00,M72,M73.90,M77,M78,S91.97,S91.93,S92,S92.94
R5.97,0,0.298245614,0.25,1,1,1,1,1,1,1,0.993150685,0.95890411,0.949367089,0.980392157,0.975,0.971428571,0.97080292,0.986486486,1,0.981132075,0.981818182,0.987012987,0.982248521,0.981927711,0.981927711,1,0.987804878,0.987654321,0.987341772,0.926470588,0.987654321,1,0.988095238,1,0.98630137,1,1,1,0.99,0.98989899,0.988764045,1,1,0.980769231,1,0.967741935,0.967948718,0.96835443,0.977272727,0.96969697,0.980392157,0.989795918,0.961538462,0.975409836,0.981651376,0.981012658,0.98,0.967741935,1,1,1,0.986842105,1,0.990740741,1,0.993197279,0.993670886,0.993421053,1,0.992307692,0.99270073,0.992907801,0.991452991,0.99047619,0.98540146,1,1,1,1,1,1,0.96875,0.986111111,0.986486486,0.986394558,0.983471074,0.983333333,0.983471074,0.935897436,0.943396226,0.961538462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987421384,0.934210526,0.935897436,0.928571429,1,1,1,0.991803279,1,0.980952381,0.952380952,1,0.97979798,0.980582524,0.97752809
R7,0.298245614,0,0.092592593,1,1,1,1,1,1,1,0.979865772,0.946666667,0.952380952,0.971698113,0.964285714,0.965277778,0.964539007,0.973509934,0.984848485,0.969135802,0.970238095,0.974522293,0.970930233,0.964285714,0.964285714,0.983333333,0.976047904,0.975757576,0.97515528,0.929577465,0.975757576,1,0.988764045,1,0.986666667,1,1,1,0.99047619,0.990384615,0.989361702,1,1,0.981651376,1,0.96875,0.968944099,0.969325153,0.97810219,0.972972973,0.981308411,0.990291262,0.966666667,0.976377953,0.98245614,0.981595092,0.980645161,0.96875,1,0.987951807,0.964285714,0.975,0.987951807,0.990909091,1,0.986754967,0.987654321,0.987179487,0.984615385,0.992592593,0.992957746,0.993150685,0.991803279,0.990909091,0.978723404,1,1,1,1,1,1,0.909090909,0.972789116,0.973509934,0.98013245,0.976,0.975806452,0.976,0.913580247,0.926605505,0.965517241,1,1,1,1,1,1,1,1,1,0.981481481,0.976190476,0.986928105,1,0.993630573,0.968944099,0.951219512,0.926829268,0.935483871,0.992,1,0.990909091,0.984126984,1,0.972477064,0.913043478,1,0.980769231,0.981481481,0.978723404
R7.92,0.25,0.092592593,0,1,1,1,1,1,1,1,0.98,0.947368421,0.952941176,0.971962617,0.964705882,0.965517241,0.964788732,0.973684211,0.984962406,0.969325153,0.970414201,0.974683544,0.971098266,0.964497041,0.964497041,0.983333333,0.976190476,0.975903614,0.975308642,0.930555556,0.975903614,1,0.988888889,1,0.986842105,1,1,1,0.990566038,0.99047619,0.989473684,1,1,0.981818182,1,0.968944099,0.969135802,0.969512195,0.97826087,0.972972973,0.981481481,0.990384615,0.966666667,0.9765625,0.982608696,0.981707317,0.980769231,0.968944099,1,0.988095238,0.964285714,0.975308642,0.988095238,0.990990991,1,0.986842105,0.987730061,0.987261146,0.984848485,0.992647059,0.993006993,0.993197279,0.991869919,0.990990991,0.978873239,1,1,1,1,1,1,0.909090909,0.972972973,0.973684211,0.980263158,0.976190476,0.976,0.976190476,0.914634146,0.927272727,0.965517241,1,1,1,1,1,1,1,1,1,0.981595092,0.976190476,0.987012987,1,0.993670886,0.969135802,0.951807229,0.927710843,0.935483871,0.992063492,1,0.990990991,0.984251969,1,0.972727273,0.913043478,1,0.980952381,0.981651376,0.978947368
R8.00,1,1,1,0,1,1,1,1,1,1,0.98245614,0.888888889,0.896551724,0.916666667,0.911764706,0.148148148,0.185185185,0.965517241,0.978723404,0.950819672,0.949152542,0.964285714,0.968253968,0.954545455,0.955223881,0.952380952,0.95,0.95,0.948275862,0.75,0.949152542,1,1,1,1,1,1,1,1,1,1,1,1,0.971428571,NA,0.981481481,0.981481481,0.981481481,0.977777778,0.976190476,0.971428571,0.972222222,0.971428571,0.978723404,0.973684211,0.981481481,0.980769231,0.981481481,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,0.97826087,0.977272727,1,1,1,1,1,1,1,1,0.98245614,0.98245614,0.98245614,0.959183673,0.96,0.98,0.965517241,0.92,0.944444444,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0.96875,0.973684211,0.95,0.947368421,1,NA,0.976190476,0.97826087,NA,0.951219512,0.96969697,0.971428571,0.976190476,0.975,0.974358974
R10.98,1,1,1,1,0,0.28125,0.272727273,0.375,0.35483871,0.979166667,1,1,1,1,1,0.991803279,0.991596639,0.9921875,0.990654206,0.992857143,0.986206897,0.984962406,0.986577181,0.993197279,1,1,0.993055556,0.992957746,0.992753623,1,0.992957746,0.955223881,0.967741935,0.928571429,1,0.976744186,0.857142857,0.926829268,0.918918919,0.932432432,0.921875,0.979166667,1,1,0.985074627,1,1,1,0.991150442,1,1,1,1,1,1,1,1,1,0.941176471,0.945454545,0.9375,0.943396226,0.945454545,0.978494624,1,0.984,0.977777778,0.984615385,0.967213115,0.981481481,0.982608696,0.983193277,1,1,0.991452991,0.9875,0.986842105,0.984615385,0.987951807,0.983870968,0.971428571,1,1,1,1,0.98,0.97979798,0.98,1,1,1,0.904761905,0.919354839,0.823529412,0.901639344,0.901639344,0.970588235,0.970588235,0.979166667,0.979591837,0.98540146,1,0.984251969,1,0.984615385,1,1,1,1,1,1,0.988095238,0.99009901,1,0.988235294,0.952380952,0.985507246,0.987341772,0.987951807,1
R10.91,1,1,1,1,0.28125,0,0.121212121,0.1,0.25,0.981132075,1,1,1,1,1,0.992125984,0.991935484,0.992481203,0.991071429,0.993103448,0.986666667,0.985507246,0.987012987,0.986754967,0.993421053,0.98,0.993288591,0.993197279,0.993006993,1,0.993197279,0.943661972,0.954545455,0.913043478,1,0.957446809,0.875,0.934782609,0.91025641,0.923076923,0.911764706,0.96,1,1,0.985714286,1,1,1,1,1,1,1,1,1,1,1,1,1,0.927272727,0.93220339,0.944444444,0.929824561,0.93220339,0.989690722,1,0.992366412,0.985815603,0.992647059,0.952380952,0.99122807,0.991735537,0.992,1,1,0.991803279,0.988235294,0.987654321,0.985714286,0.988636364,0.985074627,0.948717949,1,1,1,1,0.971153846,0.980769231,0.971153846,1,1,1,0.895522388,0.909090909,0.842105263,0.892307692,0.892307692,0.947368421,0.947368421,0.981132075,0.981481481,0.985915493,1,0.984848485,1,0.97761194,1,1,0.984848485,1,1,1,0.988764045,0.990566038,1,0.988888889,0.952380952,0.97260274,0.975903614,0.977011494,0.986486486
R10.87,1,1,1,1,0.272727273,0.121212121,0,0.212121212,0.242424242,0.981818182,1,1,1,1,1,0.992248062,0.992063492,0.992592593,0.99122807,0.993197279,0.986842105,0.985714286,0.987179487,0.986928105,0.993506494,0.979591837,1,1,1,1,1,0.945205479,0.955882353,0.916666667,1,0.96,0.866666667,0.9375,0.9125,0.925,0.914285714,0.962264151,1,1,0.98630137,1,1,1,0.991666667,1,1,1,1,1,1,1,1,1,0.929824561,0.93442623,0.941176471,0.93220339,0.93442623,0.97979798,1,0.984848485,0.978873239,0.98540146,0.954545455,0.982608696,0.983606557,0.984126984,1,1,0.991935484,0.988505747,0.987951807,0.986111111,0.988888889,0.985507246,0.951219512,1,1,1,1,0.971698113,0.981132075,0.971698113,1,1,1,0.914285714,0.927536232,0.894736842,0.911764706,0.911764706,0.95,0.95,0.981818182,0.982142857,0.986111111,1,0.985074627,1,0.977941176,1,1,0.985294118,1,1,1,0.989010989,0.990740741,1,0.989130435,0.95,0.973333333,0.976470588,0.97752809,0.986842105
R11,1,1,1,1,0.375,0.1,0.212121212,0,0.34375,1,1,1,1,1,1,1,1,0.992307692,1,1,0.993243243,0.992647059,0.993421053,0.986486486,0.993288591,0.979591837,0.993150685,0.993055556,0.992857143,1,0.993055556,0.956521739,0.96875,0.931818182,1,0.955555556,0.9375,0.954545455,0.921052632,0.934210526,0.924242424,0.958333333,1,1,0.985294118,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962963,0.965517241,1,0.964285714,0.965517241,0.989473684,1,1,0.992805755,1,0.967741935,0.990990991,0.991525424,0.991803279,1,1,1,0.987804878,0.987179487,0.985074627,0.988235294,0.984375,0.972972973,1,1,1,1,0.980392157,0.990196078,0.980392157,1,1,1,0.924242424,0.938461538,0.894736842,0.921875,0.921875,0.942857143,0.942857143,0.98,0.980392157,0.992857143,1,0.992307692,1,0.984848485,1,1,0.984126984,1,1,1,1,1,1,0.988505747,0.95,0.985915493,0.987654321,0.988235294,0.985915493
R11.95,1,1,1,1,0.35483871,0.25,0.242424242,0.34375,0,0.979591837,1,1,1,1,1,0.991869919,0.991666667,1,0.990740741,0.992907801,0.993197279,0.992592593,0.993377483,0.993243243,0.993243243,0.979166667,0.993103448,0.993006993,0.992805755,1,0.993006993,0.940298507,0.951612903,0.904761905,1,0.953488372,0.857142857,0.928571429,0.934210526,0.947368421,0.939393939,0.958333333,1,1,0.985294118,1,1,1,0.99122807,1,1,1,1,1,1,1,1,1,0.921568627,0.927272727,0.9375,0.924528302,0.927272727,0.978723404,1,0.984126984,0.977941176,0.984732824,0.950819672,0.981651376,0.982758621,0.983333333,1,1,0.991525424,1,1,1,1,1,0.942857143,1,1,1,1,0.98019802,0.98,0.98019802,1,1,1,0.90625,0.920634921,0.823529412,0.903225806,0.903225806,0.971428571,0.971428571,1,1,0.985507246,1,0.984375,1,0.976923077,1,1,0.983870968,1,1,1,0.988235294,0.990196078,1,1,1,0.971014493,0.974683544,0.975903614,0.985714286
R13.95B,1,1,1,1,0.979166667,0.981132075,0.981818182,1,0.979591837,0,0.922413793,1,1,0.962025316,0.964912281,0.991735537,0.991525424,0.976,0.971153846,0.970588235,0.986111111,0.984848485,0.97260274,0.986206897,0.986206897,1,0.978723404,0.978417266,0.977777778,0.959183673,0.978417266,0.954545455,0.93220339,0.952380952,0.941176471,1,0.95,0.976190476,0.946666667,0.945945946,0.96969697,0.928571429,0.921052632,1,0.984126984,0.99270073,0.992753623,0.992857143,0.991071429,1,0.987654321,0.986842105,1,1,0.988636364,1,1,0.99270073,0.795454545,0.836734694,0.533333333,0.804347826,0.836734694,0.965909091,0.971428571,0.958677686,0.962121212,0.968503937,0.946428571,0.961904762,0.964285714,0.965517241,0.909090909,0.909090909,0.926605505,0.974358974,1,0.968253968,0.9625,0.949152542,0.939393939,0.966666667,0.92173913,0.924369748,0.932773109,0.947916667,0.936170213,0.936842105,0.966101695,0.977272727,0.916666667,0.96969697,0.96875,0.958333333,0.96875,0.96875,1,1,1,1,0.977777778,0.941176471,0.976,1,0.9765625,1,1,1,1,0.923913043,0.888888889,0.936708861,0.925531915,0.827586207,0.975903614,0.95,0.938461538,0.917808219,0.922077922,0.921875
