"ID1","ID2","T2008","T2010","T2012","T2014","T2016","T2018","relatedness_coef"
"ID0001","ID0002",NA,NA,0,0.0625,0,0,0.0019
"ID0001","ID0003",NA,NA,0,NA,NA,NA,NA
"ID0001","ID0004",NA,NA,0,0,0,0,0.0152
"ID0001","ID0005",NA,NA,0,0,0.111111111111111,0,0
"ID0006","ID0001",NA,NA,NA,0.0434782608695652,0,0,0
"ID0001","ID0009",NA,NA,NA,0,0,0,0.002
"ID0001","ID0010",NA,NA,0,0.0506329113924051,0,0,0
"ID0011","ID0001",NA,NA,0,0.0588235294117647,0,0,0
"ID0012","ID0001",NA,NA,0,0,0,0,0
"ID0013","ID0001",NA,NA,0,0,0,0,0
"ID0014","ID0001",NA,NA,0,0.0655737704918033,0.0512820512820513,0,0
"ID0001","ID0015",NA,NA,0,0,0,0,0.0254
"ID0001","ID0016",NA,NA,0,0.0317460317460317,0,0,0
"ID0001","ID0017",NA,NA,0,0,0.142857142857143,0,0.0273
"ID0019","ID0001",NA,NA,0,0,0,0,0
"ID0020","ID0001",NA,NA,0,0,0,0,0.0234
"ID0021","ID0001",NA,NA,NA,0,0,0,0.0251
"ID0022","ID0001",NA,NA,0,0.0465116279069767,0,0,0.0261
"ID0001","ID0023",NA,NA,0,0,0,0,0.0067
"ID0001","ID0024",NA,NA,0,0.0526315789473684,0,0,0
"ID0001","ID0025",NA,NA,0,0,0,0,0
"ID0026","ID0001",NA,NA,0,0,0,NA,0.0205
"ID0028","ID0001",NA,NA,0,0.028169014084507,NA,NA,0
"ID0029","ID0001",NA,NA,0,0.025974025974026,0,0,0
"ID0001","ID0030",NA,NA,0,0,NA,NA,0
"ID0001","ID0031",NA,NA,0,0,0,0,0.0241
"ID0032","ID0001",NA,NA,NA,NA,0,0.153846153846154,NA
"ID0001","ID0033",NA,NA,0,0,0,0,0
"ID0001","ID0034",NA,NA,0,0,0,0,0.001
"ID0035","ID0001",NA,NA,0,0,0,0,0
"ID0036","ID0001",NA,NA,0,0,0,0,0
"ID0037","ID0001",NA,NA,0,0.0666666666666667,0,0,0
"ID0038","ID0001",NA,NA,0,0,NA,NA,0
"ID0039","ID0001",NA,NA,0,0,0,0,0
"ID0001","ID0040",NA,NA,0,0,NA,NA,0.0212
"ID0001","ID0042",NA,NA,0,0.0634920634920635,0,0,0.0082
"ID0043","ID0001",NA,NA,0,0.0476190476190476,0,NA,0
"ID0001","ID0044",NA,NA,0,0.0229885057471264,0.0555555555555556,0,0
"ID0001","ID0045",NA,NA,NA,NA,0,0,0
"ID0001","ID0048",NA,NA,0,0,0,0,0.0272
"ID0001","ID0049",NA,NA,0,0,0,0,0
"ID0050","ID0001",NA,NA,0,0,0,0,0.0147
"ID0001","ID0051",NA,NA,0,NA,NA,NA,NA
"ID0052","ID0001",NA,NA,0,0,0,0,0.0012
"ID0001","ID0053",NA,NA,0,NA,NA,NA,NA
"ID0054","ID0001",NA,NA,0,0,0,0,0
"ID0001","ID0055",NA,NA,0,0,0,0,0.0325
"ID0001","ID0057",NA,NA,0,0.0277777777777778,0,0,5e-04
"ID0001","ID0058",NA,NA,0,0,0,0,0.0347
"ID0001","ID0059",NA,NA,NA,NA,NA,0,0.0104
"ID0001","ID0060",NA,NA,0,0,0,0,0
"ID0001","ID0061",NA,NA,NA,0.125,0,0,0
"ID0064","ID0001",NA,NA,0,0.0384615384615385,0,0,0.0245
"ID0065","ID0001",NA,NA,0,0,0,0,0
"ID0001","ID0066",NA,NA,0,0,0,0,0
"ID0001","ID0067",NA,NA,0,0,0,0,0
"ID0001","ID0068",NA,NA,0,0,NA,NA,0.0048
"ID0069","ID0001",NA,NA,0,0,0.0689655172413793,0,0.0113
"ID0070","ID0001",NA,NA,0,NA,NA,NA,NA
"ID0001","ID0071",NA,NA,0,NA,NA,NA,NA
"ID0001","ID0072",NA,NA,0,0,0,0,0.0278
"ID0001","ID0073",NA,NA,0,0.0714285714285714,0,0,0.0439
"ID0001","ID0074",NA,NA,0,0,0,0,0.0289
"ID0075","ID0001",NA,NA,0,0.0416666666666667,0,0,0
"ID0076","ID0001",NA,NA,0,0,0,0,0.0029
"ID0001","ID0077",NA,NA,0,0,NA,NA,0
"ID0001","ID0078",NA,NA,0,0,0,0,0
"ID0079","ID0001",NA,NA,NA,NA,NA,0,0
"ID0080","ID0001",NA,NA,0,0,0,0,0
