"ID1","ID2","T2008","T2010","T2012","T2014","T2016","T2018","relatedness_coef"
"ID0001","ID0002",0.5,0.333333333333333,0.8,0.4,0.5,0.4,0.0443
"ID0001","ID0003",0,0.285714285714286,0,0,0,NA,0
"ID0001","ID0004",0,0,0,0,0,0,0
"ID0001","ID0005",0,0,0,0,0,0.181818181818182,0.0331
"ID0001","ID0006",0,0,0,0,NA,NA,0
"ID0001","ID0007",0,0,0,0,0,0,0.0216
"ID0001","ID0008",NA,NA,0,0,0,0,0
"ID0001","ID0009",0,0,NA,NA,NA,NA,NA
"ID0001","ID0010",NA,0,0,0,0,NA,0.0228
"ID0001","ID0011",NA,NA,0,0,0,0,0.013
"ID0001","ID0012",0,NA,0,0,0,NA,0
"ID0001","ID0013",0.285714285714286,NA,0.8,0.4,0.8,0.117647058823529,0
"ID0014","ID0001",0,0,0,0,NA,NA,NA
"ID0015","ID0001",0,0,0,0,0,0,0
"ID0001","ID0016",NA,0,0,0,NA,NA,0.0154
"ID0001","ID0017",0,0,0,0,0,0,0.0123
"ID0001","ID0018",NA,0,0,0,0,0,NA
"ID0019","ID0001",0,0,0,0,0,0,0.0467
"ID0001","ID0020",0.285714285714286,NA,0.8,0.4,0.666666666666667,0.222222222222222,0.022
"ID0001","ID0021",NA,0,0,0,NA,NA,NA
"ID0022","ID0001",0.117647058823529,0.0909090909090909,0,NA,NA,NA,NA
"ID0001","ID0023",NA,NA,NA,0,NA,0,0
"ID0024","ID0001",0,0,0,0,0,NA,0
"ID0025","ID0001",0,0,0,0,0,0,0
"ID0026","ID0001",0,0.0769230769230769,0,0,0,0,0.0358
"ID0001","ID0027",0,0,0,0,0,0,NA
"ID0001","ID0028",0,0,0,0,NA,NA,0
"ID0029","ID0001",0,0,0,0,NA,NA,0
"ID0030","ID0001",0,0.0833333333333333,0,0,0,0,0.0078
"ID0001","ID0031",0,0,0,0,0,0,0
"ID0001","ID0032",NA,NA,NA,0,0,0,0.0173
"ID0033","ID0001",0,0,0,0,NA,NA,0
"ID0001","ID0034",0,0,NA,NA,NA,NA,NA
"ID0035","ID0001",0,0,0,0,0,0,0.0036
"ID0001","ID0036",0,0,0,0,0,0,0
"ID0037","ID0001",0,0.181818181818182,NA,NA,NA,NA,NA
"ID0038","ID0001",0,0,0,0,0,0,0
"ID0001","ID0039",0,0,0.5,0,0,0,0
"ID0040","ID0001",NA,NA,NA,0,0,0,0.0403
"ID0001","ID0041",NA,NA,NA,0,0,0,0
"ID0042","ID0001",0.0909090909090909,0,0,0,0,0,0
"ID0001","ID0043",0.75,NA,0.333333333333333,0.5,1,0.222222222222222,0.0357
"ID0001","ID0044",0,0,0,0,0,0,0
"ID0001","ID0045",0.2,0.5,0.666666666666667,0,NA,NA,NA
"ID0046","ID0001",0,0,0,0,0,NA,NA
"ID0001","ID0047",NA,NA,0,0,0,0,0
"ID0048","ID0001",0,0,0,0,0,0,0.0198
"ID0049","ID0001",NA,0,0,0,0,NA,NA
"ID0050","ID0001",NA,NA,NA,NA,0,0,0
"ID0051","ID0001",NA,NA,0,0,0,0,0.0036
"ID0052","ID0001",0,0.0833333333333333,0,0,0,0,0.0067
"ID0001","ID0053",NA,NA,0,0,0,0,0
"ID0054","ID0001",0,0,0,0,NA,NA,0
"ID0055","ID0001",0,0,0,0,0,0,NA
"ID0001","ID0056",NA,NA,0,0,0,0,4e-04
"ID0057","ID0001",NA,NA,NA,0,0,NA,0
"ID0058","ID0001",NA,NA,0,0,NA,NA,NA
"ID0059","ID0001",NA,0,0,0,0,0,0
"ID0001","ID0060",0,0,0,0,NA,0,0
"ID0061","ID0001",0,0,0,0,0,0,0.0015
"ID0062","ID0001",NA,0,0,0,0,0,0.0149
"ID0063","ID0001",0,0,0,NA,NA,NA,NA
"ID0064","ID0001",0,0,0,0,0,0,0.0014
"ID0001","ID0065",0,0,0,0,0.25,0,0.0429
"ID0001","ID0066",0,0,NA,NA,NA,NA,NA
"ID0001","ID0067",NA,NA,0,0,0,0.166666666666667,NA
