ID,Birth Year
M48.06,2006
M35.9103,2003
R22.99,1999
R22.06,2006
R7,1983
M2.96,1996
R33.03,2003
M4.02,2002
R13.03,2003
M45.93,1993
M48,1966
R19.8801,2001
R31.96,1996
R33,1976
M27.91,1991
R22.92,1992
M45.01,2001
M2.9203,2003
M28.9403,2003
M36.00,2000
M48.93,1993
R23.93,1993
M9,1971
M23.91,1991
M18,1986
R8.04,2004
M25.00,2000
M17.86,1986
M9.02,2002
M73.9006,2006
R6.9001,2001
M48.9103,2003
R27.99,1999
M1.8800,1999
M45.97,1997
M23.9103,2003
M20.04,2004
M32.04,2004
M4,1965
M24.04,2004
M67.90,1990
R5.97,1997
M8.91,1991
M48.97,1996
M67.9505,2005
M5,1973
R31,1977
R23,1976
R6.01,2001
M65.93,1993
M35,1968
M34.92,1992
M9.96,1996
M46,1979
M26.05,2005
M64.99,1999
M24.90,1990
M28.94,1994
M20.95,1995
M14.01,2001
R26,1984
M8.9102,2002
M19.99,1999
R13.95B,1995
R7.9203,2003
M8.98,1998
M36.04,2004
M30,1973
M24.93,1993
M17.90,1990
M35.91,1991
M34.99,1999
R25.96,1996
R22.89,1988
R7.92,1992
M8.88,1988
M8.03,2003
M30.97,1997
M25,1981
M2.03,2003
M33,1955
R29.03,2003
R27.97,1997
R26.00,2000
M25.04,2004
M63.01,2001
M47,1988
R28.9000,2000
R22.8904,2004
R25.9002,2002
M33.95,1995
M8.8800,2000
R24,1980
M17,1971
M52.92,1992
M63,1966
M6.99,1999
M6,1975
M10,1986
R36.03,2003
R19.88,1988
M73.90,1990
R28.03,2003
M26,1987
M7.8905,2005
R27.04,2004
M31,1961
M31.04,2004
R22.03,2003
R25.03,2003
M54.00,2000
M19.9505,2005
M63.94,1994
R29,1986
M53.95B,1995
R4.00,2000
R28.99,1999
R36.06,2006
M64.95,1995
M69,1982
M28.97,1997
R8.00,2000
R38.01,2001
M69.04,2004
M70.01,2001
