node_name,change_efficiency,degree,sum_edge_weights,eigen_centrality,betweenness,bonacich,mothers,children
R1,-1.24104714431639e-4,95,5.769237332,0.0688954426141188,3,0.00573750720340981,1,0
R1.91,-1.51092278080245e-4,29,5.109706045,0.0434391675074014,98,0.010787801426586,0,1
R2,-1.23075611095702e-4,97,5.788105673,0.0695935456061459,4,0.00608616383400688,0,0
R3,-2.75195799273098e-4,95,5.820227655,0.069404585196161,162,0.0057375072034098,1,0
R3.90,-2.87792780089835e-5,26,4.384999467,0.0373215961308442,44,0.00872508345047252,0,1
R4,3.17578851183553e-4,77,6.60639519,0.047411847600585,7,0.00877110682733433,0,0
R5,2.84599715283773e-4,76,4.718221709,0.0310803530402713,53,0.00942216365978968,0,0
R6,3.21159198828302e-4,77,6.560918338,0.0471992859182179,8,0.00877110682733433,1,0
R6.90,4.48048020397218e-4,65,5.667091833,0.028449398666871,0,0.00737171254864663,0,1
R7,2.70187453222603e-4,77,6.283095468,0.0464112440477179,63,0.0087711068273343,1,0
R7.92,3.48811385932513e-4,48,7.5926681,0.0361038771806419,38,0.00792771534105246,0,1
R8,3.51733879625615e-4,71,4.580766872,0.0283616904331515,45,0.00925321894434136,1,0
R8.88,6.92522890436975e-4,44,6.049532259,0.0273215478939989,0,0.00980116703388594,0,1
R9,5.29539558921766e-4,66,4.307367549,0.0191724346354143,4,0.006596195113951,0,0
R10,-2.33147133238021e-4,105,6.317538926,0.0855020623324984,39.5,0.00806734370822377,1,0
R10.91,-1.36131261272543e-4,68,5.001885037,0.0550307358849828,7,0.008200847733351,0,1
R10.87,-2.23882819426591e-4,105,6.220420021,0.0799735644105559,64.5,0.00806734370822378,0,1
R11,-2.04465661804432e-4,105,5.986909342,0.0772707169171508,1,0.00806734370822378,0,0
R12,-6.26521213468734e-5,89,4.750052102,0.0719743944399332,0,0.00706587404732539,0,0
R13,-2.16449425690213e-4,108,3.769558462,0.0441386885977067,0,0.00519343708135477,0,0
R14,-3.8545788293165e-4,115,5.361067384,0.0499007978226801,6,0.00475564756628436,1,0
R14.89,-1.68636743340111e-4,98,3.925556242,0.0410753712445636,55,0.00565976430607867,0,1
